```csv
Name,Description,Target Group,Funding Amount,Application Deadline,Responsible Organization,Source Link
"Project Support for Arts and Culture","Funding for projects in various art forms including music, visual arts, theatre, and literature.","Artists, organizations, and cultural institutions.","Varies; typically up to NOK 1 million.","Varies by project type; generally several times a year.","Arts Council Norway (Kulturrådet)","https://www.kulturradet.no"
"Regional Cultural Support","Funding for regional cultural projects and initiatives.","Local cultural organizations, artists, and municipalities.","Varies by county; typically from NOK 50,000 to NOK 500,000.","Varies by county; check local guidelines.","Individual county municipalities.","https://www.fylkeskommuner.no"
"Grants from Lotteries","Funding for cultural and sports projects through lottery revenues.","Non-profit organizations and foundations.","Varies; typically from NOK 10,000 to NOK 1 million.","Ongoing; check specific lottery guidelines.","Lotteri- og stiftelsestilsynet","https://www.lottstift.no"
"Cultural Grants","Funding for cultural projects, especially those benefiting children and youth.","Non-profit organizations and cultural institutions.","Up to NOK 1 million.","Twice a year; specific dates vary.","Sparebankstiftelsen DNB","https://www.sparebankstiftelsen.no"
"Support for Festivals","Funding for cultural festivals across various disciplines.","Festival organizers and cultural institutions.","Up to NOK 500,000.","Annually; check specific festival guidelines.","Norsk Kulturråd","https://www.kulturradet.no"
"Support for Youth Cultural Activities","Funding for projects aimed at engaging children and youth in cultural activities.","Non-profits and community organizations.","Varies; typically up to NOK 300,000.","Annually; specific dates vary.","Barne- og familiedepartementet","https://www.regjeringen.no/en/dep/bfd"
"Support for Arts in Schools","Funding for projects that integrate arts into school curricula.","Schools and educational institutions.","Varies; typically up to NOK 200,000.","Ongoing; check specific guidelines.","Kulturtanken","https://www.kulturtanken.no"
"Support for Literary Projects","Funding for projects that promote literature and reading.","Authors, literary organizations, and publishers.","Up to NOK 300,000.","Annually; specific dates vary.","Norsk Forfattersentrum","https://www.forfattersentrum.no"
"Diversity and Inclusion Support","Funding for projects that promote diversity in the arts.","Artists and organizations focusing on diversity.","Up to NOK 500,000.","Ongoing; check specific guidelines.","Arts Council Norway","https://www.kulturradet.no"
"Film Production Support","Funding for film projects, including documentaries and short films.","Film producers and production companies.","Varies; typically from NOK 100,000 to NOK 5 million.","Ongoing; check specific guidelines.","Norwegian Film Institute","https://www.nfi.no"
```
